# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1819
#@/user_id	brainocean_macos
a 	啊	c=2 d=0.118374 t=1818
wo hui xiang da jia 	我會向大家	c=1 d=0.316637 t=1818
wo jiu ji ben zhi dao 	我就基本知道	c=1 d=0.105399 t=1818
wo ke neng 	我可能	c=1 d=0.00790705 t=1818
wo li yong 	我利用	c=1 d=0.311923 t=1818
wo lian xi 	我聯繫	c=1 d=0.00336274 t=1818
wo ma 	我媽	c=0 d=0.00372538 t=1818
wo men 	我們	c=9 d=1.81754 t=1818
wo men zheng ge 	我們整個	c=1 d=0.00200924 t=1818
wo ming tian 	我明天	c=2 d=0.0439341 t=1818
wo qu 	我去	c=0 d=0.00141223 t=1818
wo qu qu yi xia 	我去取一下	c=1 d=0.0141931 t=1818
wo ren wei 	我認爲	c=1 d=0.000812821 t=1818
wo shi bu shi 	我是不是	c=1 d=0.22091 t=1818
wo shi shi 	我試試	c=1 d=0.00653881 t=1818
wo tong zhi ta 	我通知他	c=1 d=0.00177315 t=1818
wo xia qu 	我下去	c=0 d=0.02334 t=1818
wo xia qu zhao ni 	我下去找你	c=1 d=0.23457 t=1818
wo xian zai 	我現在	c=3 d=0.0506531 t=1818
wo xie de zui jian dan de cheng xu 	我寫的最簡單的程序	c=1 d=0.00273944 t=1818
wo you yi ge 	我有一個	c=1 d=0.00456197 t=1818
wo zai xiang xiang ban fa 	我在想想辦法	c=1 d=0.0102037 t=1818
wo zhe li 	我這裏	c=3 d=0.0117612 t=1818
wo zhuan yi fen 	我轉一份	c=1 d=0.0948935 t=1818
wu fa 	無法	c=0 d=0.00448245 t=1818
wu fa deng lu 	無法登錄	c=1 d=0.0450492 t=1818
wu fan 	午飯	c=1 d=0.232236 t=1818
wu lou 	五樓	c=0 d=0.000283702 t=1818
wu nian ji 	五年級	c=1 d=0.0620385 t=1818
wu pin 	物品	c=5 d=0.158032 t=1818
wu san 	五三	c=0 d=0.00174224 t=1818
wu san ban 	五三班	c=1 d=0.0175097 t=1818
wu tai 	舞臺	c=0 d=0.000307331 t=1818
wu tai jue se 	舞臺角色	c=1 d=0.00308872 t=1818
wu zhang ai 	無障礙	c=0 d=0.0282239 t=1818
wu zhang ai she shi 	無障礙設施	c=1 d=0.283654 t=1818
xi guan 	習慣	c=1 d=0.83527 t=1818
xi jie 	細節	c=2 d=0.0010693 t=1818
xi jie gong zuo 	細節工作	c=1 d=0.000534061 t=1818
xi ju 	戲劇	c=2 d=0.285284 t=1818
xi tong 	系統	c=1 d=0.000275008 t=1818
xi tong xian shi 	系統顯示	c=1 d=0.00096827 t=1818
xia 	下	c=5 d=0.00819296 t=1818
xia dan 	下單	c=0 d=0.00306538 t=1818
xia dan ba 	下單吧	c=1 d=0.0308074 t=1818
xia le 	下了	c=1 d=0.22313 t=1818
xia wu 	下午	c=0 d=0.0237085 t=1818
xia wu hai shi 	下午還是	c=1 d=0.000893825 t=1818
xia wu yi dian ban 	下午一點半	c=1 d=0.000452827 t=1818
xia yi bu 	下一步	c=1 d=0.640824 t=1818
xian 	先	c=2 d=0.012599 t=1818
xian 	線	c=1 d=0.0216865 t=1818
xian lu tu 	線路圖	c=1 d=0.00311976 t=1818
xian sheng 	獻聲	c=1 d=0.000958635 t=1818
xian shi 	顯示	c=0 d=9.6344e-05 t=1818
xian xia 	線下	c=1 d=0.276651 t=1818
xian xing dai shu 	線性代數	c=1 d=0.181772 t=1818
xian yu 	鹹魚	c=1 d=0.0352602 t=1818
xian zai 	現在	c=4 d=0.899798 t=1818
xiang 	向	c=0 d=0.0315058 t=1818
xiang 	想	c=1 d=0.00927901 t=1818
xiang 	響	c=2 d=0.0116903 t=1818
xiang guan chan pin 	相關產品	c=1 d=0.000405658 t=1818
xiang jin 	詳盡	c=1 d=0.000148489 t=1818
xiang liang 	向量	c=1 d=0.591555 t=1818
xiang mu 	項目	c=5 d=0.0892676 t=1818
xiang xi 	詳細	c=0 d=0.0018043 t=1818
xiang xi jie gou tu 	詳細結構圖	c=2 d=0.0363576 t=1818
xiang xiang 	想想	c=0 d=0.00101529 t=1818
xiang yi miao 	響一秒	c=1 d=0.0072265 t=1818
xiang yi sheng 	響一聲	c=1 d=0.00647375 t=1818
xiao 	小	c=2 d=0.0213764 t=1818
xiao du 	消毒	c=2 d=0.0906761 t=1818
xiao du mo kuai 	消毒模塊	c=1 d=0.0239928 t=1818
xiao du xiang 	消毒箱	c=3 d=0.105425 t=1818
xiao he shuang pin 	小鶴雙拼	c=1 d=0.000253537 t=1818
xiao sheng 	小升	c=0 d=2.73284e-05 t=1818
xiao sheng chu 	小升初	c=2 d=0.000554856 t=1818
xiao shou 	銷售	c=1 d=0.00017956 t=1818
xiao xin 	小心	c=0 d=0.00285814 t=1818
xiao xue 	小學	c=1 d=0.0640828 t=1818
xiao ya 	小亞	c=1 d=0.00522135 t=1818
xie de 	寫的	c=0 d=0.000272578 t=1818
xie tiao 	協調	c=1 d=0.000581442 t=1818
xie xie 	謝謝	c=15 d=1.33174 t=1818
xie yi 	協議	c=0 d=0.00308074 t=1818
xin hao 	信號	c=2 d=0.0388092 t=1818
xin ku le 	辛苦了	c=1 d=0.778801 t=1818
xin xi 	信息	c=4 d=0.465765 t=1818
xing ma 	行嗎	c=1 d=0.0430669 t=1818
xing qu 	興趣	c=1 d=0.000253768 t=1818
xiu 	修	c=0 d=0.00300468 t=1818
xiu 	秀	c=1 d=0.822835 t=1818
xiu gai 	修改	c=1 d=0.0505395 t=1818
xiu hao 	修好	c=0 d=0.00347353 t=1818
xiu hao le zhi hou 	修好了之後	c=1 d=0.0349094 t=1818
xiu jia 	休假	c=1 d=0.646895 t=1818
xiu jia ji hua 	休假計畫	c=2 d=0.896755 t=1818
xu qiu 	需求	c=1 d=0.0632918 t=1818
xu yao 	需要	c=5 d=0.115868 t=1818
xu yao duo shao shi jian 	需要多少時間	c=1 d=0.000169103 t=1818
xu yao qu diao 	需要去掉	c=1 d=0.000816895 t=1818
xu ying 	虛應	c=1 d=0.00794669 t=1818
xuan shang 	選上	c=1 d=0.25924 t=1818
xuan ze 	選擇	c=1 d=0.0165911 t=1818
xuan ze kun nan zheng 	選擇困難症	c=1 d=0.000184106 t=1818
xue xi 	學習	c=0 d=0.000321477 t=1818
xue xi zi liao 	學習資料	c=1 d=0.00323088 t=1818
xue xiao ban 	血小板	c=1 d=0.000285862 t=1818
xun fei 	訊飛	c=6 d=0.00427819 t=1818
yan ge 	嚴格	c=1 d=0.0322254 t=1818
yan se 	顏色	c=1 d=0.0185924 t=1818
yan shi 	演示	c=3 d=0.00192627 t=1818
yan shi jiao ben 	演示腳本	c=2 d=0.00128038 t=1818
yan shou 	驗收	c=1 d=0.000720907 t=1818
yang cheng 	養成	c=1 d=0.839457 t=1818
yang huan 	楊歡	c=1 d=0.00047367 t=1818
yang pu 	楊浦	c=0 d=0.00173355 t=1818
yang pu qu 	楊浦區	c=1 d=0.378916 t=1818
yang pu xiao xue 	楊浦小學	c=3 d=0.525593 t=1818
yao 	要	c=1 d=0.00345964 t=1818
yao dao 	要到	c=0 d=0.0157237 t=1818
yao dao ren 	要到人	c=1 d=0.158025 t=1818
yao dian 	要點	c=1 d=0.927743 t=1818
yao hui qu nan 	要回去難	c=1 d=0.00293808 t=1818
yao qing 	邀請	c=1 d=0.000717312 t=1818
yao qiu 	要求	c=1 d=0.327915 t=1818
yao shi you 	要是有	c=1 d=0.71177 t=1818
yao xie 	要寫	c=0 d=0.0271173 t=1818
yao xie qing chu 	要寫清楚	c=1 d=0.272532 t=1818
ye 	也	c=3 d=0.177726 t=1818
ye 	葉	c=0 d=0.0151072 t=1818
ye 	頁	c=1 d=0.000190664 t=1818
ye bu 	也不	c=0 d=0.000503193 t=1818
ye bu zen me yang ma 	也不怎麼樣嘛	c=1 d=0.000261259 t=1818
ye mian 	頁面	c=1 d=0.00157264 t=1818
ye shi 	也是	c=1 d=0.00126207 t=1818
ye shi guo le 	也試過了	c=1 d=0.0118551 t=1818
ye xu 	也許	c=1 d=0.00302755 t=1818
ye zhi you 	也只有	c=1 d=0.00201931 t=1818
yi 	一	c=0 d=0.220842 t=1818
yi 	以	c=2 d=0.127655 t=1818
yi 	已	c=1 d=0.603506 t=1818
yi bu de 	異步的	c=1 d=0.000443861 t=1818
yi dai 	一代	c=1 d=0.0128424 t=1818
yi dian 	一點	c=0 d=0.000269866 t=1818
yi dian ban 	一點半	c=1 d=0.806541 t=1818
yi ding yao 	一定要	c=0 d=0.00285814 t=1818
yi ding yao xiao xin o 	一定要小心哦	c=1 d=0.0287246 t=1818
yi fa song 	已發送	c=1 d=0.0898153 t=1818
yi fen 	一份	c=0 d=0.00944202 t=1818
yi ge 	一個	c=2 d=0.00136799 t=1818
yi ge ren 	一個人	c=1 d=0.0800583 t=1818
yi gu zuo qi 	一鼓作氣	c=1 d=0.000921047 t=1818
yi hou 	以後	c=0 d=0.00271874 t=1818
yi ji 	以及	c=1 d=0.000564257 t=1818
yi jian 	意見	c=0 d=0.000105417 t=1818
yi jing 	已經	c=6 d=0.51148 t=1818
yi ju hua 	一句話	c=0 d=0.00399551 t=1818
yi liang che 	一輛車	c=1 d=0.782705 t=1818
yi lou 	一樓	c=0 d=0.0798516 t=1818
yi miao 	一秒	c=0 d=0.000719046 t=1818
yi qi 	一起	c=3 d=0.316771 t=1818
yi qian 	以前	c=1 d=0.489192 t=1818
yi shang 	以上	c=1 d=0.0536647 t=1818
yi sheng 	一聲	c=1 d=0.247337 t=1818
yi si 	疑似	c=1 d=0.0096577 t=1818
yi ting dao 	一聽到	c=1 d=0.10435 t=1818
yi wen 	疑問	c=0 d=0.0148823 t=1818
yi xia 	一下	c=6 d=0.572566 t=1818
yi xiao shi 	一小時	c=1 d=0.000372602 t=1818
yi xie 	一些	c=0 d=7.96726e-05 t=1818
yi xie wen ben 	一些文本	c=1 d=0.000800719 t=1818
yi yang 	一樣	c=3 d=0.0641077 t=1818
yi yang de 	一樣的	c=1 d=0.0119145 t=1818
yi yang mei you fan ying 	一樣沒有反應	c=1 d=0.00257991 t=1818
yi yi 	意義	c=0 d=0.0927743 t=1818
yi you 	已有	c=1 d=0.000176887 t=1818
yi zhi 	已知	c=1 d=0.0057994 t=1818
yi zu 	一組	c=1 d=0.00618889 t=1818
yin ci 	因此	c=1 d=0.053397 t=1818
yin jiao 	引腳	c=10 d=0.0599391 t=1818
yin jiao tu 	引腳圖	c=1 d=0.0031354 t=1818
yin qing 	引擎	c=1 d=0.000121572 t=1818
yin ren er yi 	因人而異	c=1 d=0.000323925 t=1818
yin wei 	因爲	c=0 d=0.00581561 t=1818
yin wei kuo zhan ban 	因爲擴展板	c=1 d=0.00259284 t=1818
yin wei you shi pin 	因爲有視頻	c=1 d=0.0558548 t=1818
ying gai 	應該	c=7 d=0.772507 t=1818
ying gai de 	應該的	c=1 d=0.0152985 t=1818
ying gai gai cheng zhong wen 	應該改成中文	c=1 d=0.00111936 t=1818
ying gai shi 	應該是	c=1 d=0.00158052 t=1818
ying jian 	硬件	c=1 d=0.00701293 t=1818
ying she 	影射	c=0 d=0.000379148 t=1818
ying she dao 	影射到	c=1 d=0.00381048 t=1818
ying wen 	英文	c=5 d=0.00142849 t=1818
ying xiang 	影響	c=0 d=0.000245409 t=1818
ying yu 	英語	c=1 d=0.00121866 t=1818
yong 	用	c=4 d=0.188695 t=1818
yong de shi 	用的是	c=1 d=0.00263203 t=1818
yong yi xia 	用一下	c=1 d=0.0131675 t=1818
you 	又	c=0 d=0.0145148 t=1818
you 	有	c=2 d=0.726269 t=1818
you 	由	c=1 d=0.310367 t=1818
you bang zhu 	有幫助	c=1 d=0.00307331 t=1818
you cuo 	有錯	c=1 d=0.145148 t=1818
you dian 	有點	c=2 d=0.129219 t=1818
you dian man 	有點慢	c=1 d=0.00362464 t=1818
you ge 	有個	c=0 d=0.000313942 t=1818
you ge jian yi 	有個建議	c=1 d=0.00108086 t=1818
you ge shi he ni tao lun 	有個事和你討論	c=1 d=0.0023935 t=1818
you hui 	有會	c=1 d=0.280832 t=1818
you jian 	郵件	c=5 d=0.635004 t=1818
you jian yi jing 	郵件已經	c=1 d=0.160414 t=1818
you ke 	遊客	c=0 d=0.0293758 t=1818
you ke zhong xin 	遊客中心	c=1 d=0.29523 t=1818
you kong 	有空	c=2 d=0.491201 t=1818
you mei you 	有沒有	c=5 d=0.74223 t=1818
you qi ta ren 	有其他人	c=1 d=0.000243596 t=1818
you shen me 	有什麼	c=0 d=0.00023935 t=1818
you shen me fa xian 	有什麼發現	c=1 d=0.00240549 t=1818
you shen me yao zhu yi de di fang ma 	有什麼要注意的地方嗎	c=1 d=0.00242967 t=1818
you wen ti 	有問題	c=4 d=0.0620012 t=1818
you wen ti ma 	有問題嗎	c=1 d=0.00612731 t=1818
you wu 	有誤	c=1 d=0.125556 t=1818
you xiang 	郵箱	c=3 d=0.210923 t=1818
you xing qu ma 	有興趣嗎	c=1 d=0.000244817 t=1818
you yi ge 	有一個	c=1 d=0.000220415 t=1818
you yu 	由於	c=1 d=0.344728 t=1818
yu 	與	c=0 d=0.0941765 t=1818
yu ju 	語句	c=0 d=1.84106e-05 t=1818
yu ju liu 	語句流	c=1 d=0.000185029 t=1818
yu yin 	語音	c=3 d=0.0240589 t=1818
yu yin kong zhi 	語音控制	c=8 d=0.0973272 t=1818
yu yin shi bie 	語音識別	c=5 d=0.0343487 t=1818
yu yin shi bie mo kuai 	語音識別模塊	c=2 d=0.0156515 t=1818
yu yu 	俞禹	c=1 d=0.000468957 t=1818
yuan cheng 	遠程	c=0 d=0.00278757 t=1818
yuan lai 	原來	c=1 d=0.0107269 t=1818
yuan li 	原理	c=1 d=0.00228818 t=1818
yuan shi 	原始	c=1 d=0.0200405 t=1818
yuan yin 	原因	c=0 d=0.000396599 t=1818
yue da 	越大	c=1 d=0.261846 t=1818
yue di 	月底	c=1 d=0.000376347 t=1818
yue zao 	越早	c=1 d=0.257947 t=1818
yun 	雲	c=1 d=0.000159251 t=1818
yun duan 	雲端	c=1 d=0.118245 t=1818
zai 	在	c=10 d=0.571178 t=1818
zai ban gong shi 	在辦公室	c=1 d=0.000308127 t=1818
zai ci 	在此	c=0 d=0.00515605 t=1818
zai ci deng lu 	在此登錄	c=1 d=0.0518189 t=1818
zan ba zan ma 	咱爸咱媽	c=1 d=0.0155297 t=1818
zen me 	怎麼	c=0 d=0.0158025 t=1818
zen me shuo 	怎麼說	c=1 d=0.00165327 t=1818
zen me ti xing 	怎麼提醒	c=1 d=0.158817 t=1818
zen me yang 	怎麼樣	c=0 d=2.59956e-05 t=1818
zeng gao 	增高	c=1 d=0.000287295 t=1818
zeng jia 	增加	c=0 d=0.0970446 t=1818
zeng jia lian jie 	增加連接	c=1 d=0.97531 t=1818
zeng qiang 	增強	c=1 d=0.000322309 t=1818
zhan dian 	站點	c=1 d=0.000136389 t=1818
zhan kai 	展開	c=1 d=0.00224287 t=1818
zhan shi 	展示	c=2 d=0.0350351 t=1818
zhan zai 	站在	c=1 d=0.00013845 t=1818
zhang hao 	帳號	c=1 d=0.196912 t=1818
zhang wo 	掌握	c=1 d=0.000422213 t=1818
zhao 	找	c=3 d=0.00481424 t=1818
zhao dao 	找到	c=1 d=0.0290122 t=1818
zhao ge 	找個	c=1 d=0.00343067 t=1818
zhao gu 	照顧	c=1 d=0.0753961 t=1818
zhao ni 	找你	c=0 d=0.02334 t=1818
zhao pian 	照片	c=1 d=0.774916 t=1818
zhao ta 	找他	c=1 d=0.00197932 t=1818
zhao yi xia 	找一下	c=1 d=0.00152616 t=1818
zhe ci 	這次	c=1 d=0.313486 t=1818
zhe feng 	這封	c=1 d=0.127454 t=1818
zhe ge 	這個	c=11 d=1.01558 t=1818
zhe ge tai feng 	這個颱風	c=1 d=0.0288686 t=1818
zhe ge wang zhan 	這個網站	c=1 d=0.045502 t=1818
zhe hai zi 	這孩子	c=1 d=0.0372538 t=1818
zhe hui er 	這會兒	c=0 d=0.000208081 t=1818
zhe hui er you kong ma 	這會兒有空嗎	c=1 d=0.00209124 t=1818
zhe li 	這裏	c=1 d=0.00900478 t=1818
zhe liang tian 	這兩天	c=0 d=0.00109985 t=1818
zhe me 	這麼	c=0 d=0.00374406 t=1818
zhe me cheng hu wo 	這麼稱呼我	c=1 d=0.0376283 t=1818
zhe shi 	這是	c=2 d=0.156304 t=1818
zhe shi 	這時	c=1 d=0.0231676 t=1818
zhe yang 	這樣	c=0 d=0.0077028 t=1818
zhe yi dian 	這一點	c=0 d=0.0154124 t=1818
zhen shi 	真實	c=1 d=0.000387808 t=1818
zhen shi de 	真實的	c=1 d=0.000290183 t=1818
zheng 	症	c=0 d=1.83188e-05 t=1818
zheng chang 	正常	c=2 d=0.00966696 t=1818
zheng da 	睜大	c=0 d=7.84864e-05 t=1818
zheng da shuang yan 	睜大雙眼	c=1 d=0.000788798 t=1818
zheng ge 	整個	c=1 d=0.023977 t=1818
zheng ge xia wu 	整個下午	c=1 d=0.260621 t=1818
zheng li 	整理	c=2 d=0.876571 t=1818
zheng zai 	正在	c=0 d=0.0273898 t=1818
zheng zai shen qing 	正在申請	c=1 d=0.275271 t=1818
zhi 	之	c=0 d=7.65486e-05 t=1818
zhi bo dai huo 	直播帶貨	c=1 d=0.000311223 t=1818
zhi chi 	支持	c=1 d=0.20089 t=1818
zhi dao 	知道	c=0 d=0.0104874 t=1818
zhi hou 	之後	c=1 d=0.00508597 t=1818
zhi jie 	直接	c=0 d=0.00114473 t=1818
zhi jie bao ming 	直接報名	c=1 d=0.0115047 t=1818
zhi neng jia ju 	智能家居	c=1 d=0.062662 t=1818
zhi qian 	之前	c=3 d=0.998401 t=1818
zhi shu 	直屬	c=1 d=0.000973123 t=1818
zhi xing 	執行	c=1 d=0.0168755 t=1818
zhi yi 	之一	c=1 d=0.218712 t=1818
zhi yong 	只用	c=1 d=0.00019549 t=1818
zhi you 	只有	c=0 d=0.0318087 t=1818
zhi you he nan 	只有河南	c=1 d=0.282239 t=1818
zhi you wo ma 	只有我媽	c=1 d=0.0374406 t=1818
zhong 	中	c=2 d=0.00208326 t=1818
zhong hai 	中海	c=1 d=0.000161662 t=1818
zhong wen 	中文	c=1 d=0.00132396 t=1818
zhong xin 	中心	c=0 d=0.0293758 t=1818
zhou dui chen 	軸對稱	c=1 d=0.18452 t=1818
zhou san 	週三	c=1 d=0.0256042 t=1818
zhou wu 	週五	c=3 d=0.975982 t=1818
zhou wu zhi qian 	週五之前	c=1 d=0.000157671 t=1818
zhou yi 	週一	c=1 d=0.0137049 t=1818
zhu ban 	主板	c=3 d=0.0315528 t=1818
zhu yi 	注意	c=0 d=0.000241755 t=1818
zhua jin shi jian 	抓緊時間	c=0 d=0.000144449 t=1818
zhua zhu ji hui 	抓住機會	c=1 d=0.00245409 t=1818
zhuan 	轉	c=1 d=0.0891011 t=1818
zhuan fa 	轉發	c=0 d=0.00977834 t=1818
zhuan fa le 	轉發了	c=1 d=0.0982736 t=1818
zhuang bu xia 	裝不下	c=1 d=0.0584257 t=1818
zhuang tai 	狀態	c=3 d=0.0244022 t=1818
zhuang tai xin xi 	狀態信息	c=1 d=0.00150344 t=1818
zhun bei 	準備	c=1 d=0.1029 t=1818
zhun bei cai liao 	準備材料	c=1 d=0.67368 t=1818
zhun bei cai liao de shi jian 	準備材料的時間	c=1 d=0.357007 t=1818
zhun bei gong zuo 	準備工作	c=1 d=0.308819 t=1818
zhuo mian 	桌面	c=1 d=0.203926 t=1818
zi 	紫	c=1 d=0.408608 t=1818
zi ding yi 	自定義	c=1 d=0.0192547 t=1818
zi dong 	自動	c=1 d=0.0485578 t=1818
zi ji 	自己	c=4 d=0.219258 t=1818
zi ji kai fa 	自己開發	c=2 d=0.0426672 t=1818
zi liao 	資料	c=0 d=0.000321477 t=1818
zi qiu duo fu 	自求多福	c=1 d=0.172045 t=1818
zi se 	紫色	c=1 d=0.0325493 t=1818
zi wai deng 	紫外燈	c=1 d=0.0228227 t=1818
zi wo jie shao 	自我介紹	c=1 d=0.01649 t=1818
zong 	總	c=0 d=0.00294518 t=1818
zong neng 	總能	c=0 d=0.00275983 t=1818
zong neng zhao dao ban fa 	總能找到辦法	c=1 d=0.0277367 t=1818
zong shi qian gua 	總是牽掛	c=1 d=0.0295994 t=1818
zou 	走	c=0 d=0.0163377 t=1818
zou bu zou 	走不走	c=1 d=0.155673 t=1818
zou shen me shou xu 	走什麼手續	c=1 d=0.00852289 t=1818
zou tong 	走通	c=1 d=0.00212284 t=1818
zu che 	租車	c=1 d=0.293758 t=1818
zu zhi 	組織	c=1 d=0.690458 t=1818
zui 	最	c=1 d=0.210136 t=1818
zui duo 	最多	c=1 d=0.264477 t=1818
zui hao 	最好	c=1 d=0.00289433 t=1818
zui hou 	最後	c=0 d=0.00132999 t=1818
zui hou chang shi yi xia 	最後嘗試一下	c=1 d=0.0133665 t=1818
zui jian dan de 	最簡單的	c=0 d=0.000272578 t=1818
zui jin 	最近	c=1 d=0.208045 t=1818
zui zhong 	最終	c=2 d=0.00210731 t=1818
zuo 	做	c=1 d=0.21347 t=1818
zuo biao 	座標	c=1 d=0.571209 t=1818
zuo dao 	做到	c=0 d=0.0154124 t=1818
zuo dao zhe yi dian 	做到這一點	c=1 d=0.154896 t=1818
zuo de 	做的	c=1 d=0.000259956 t=1818
zuo guo 	做過	c=1 d=0.000349153 t=1818
zuo pin 	作品	c=1 d=0.0862936 t=1818
zuo tian 	昨天	c=2 d=0.0167271 t=1818
zuo wan 	做完	c=4 d=0.00654676 t=1818
zuo wan le ma 	做完了嗎	c=1 d=0.00144449 t=1818
zuo wei 	作爲	c=2 d=0.194914 t=1818
zuo zhe 	作者	c=1 d=0.017163 t=1818
