# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
ling yi ge ren 	另一個人	c=0 d=1.77345e-06 t=15065
ling yi ge ren de 	另一個人的	c=1 d=1.78234e-05 t=15065
ling yi wei 	另一位	c=1 d=1.0471e-12 t=15065
ling yu 	領域	c=3 d=0.516332 t=15065
ling yu dan ci yu shu yu 	領域單詞與術語	c=1 d=0.946485 t=15065
ling zhi yuan 	零志願	c=1 d=3.56449e-12 t=15065
liu 	六	c=0 d=7.73442e-09 t=15065
liu 	劉	c=0 d=3.17618e-09 t=15065
liu 	流	c=0 d=1.84106e-05 t=15065
liu 	留	c=1 d=1.27584e-13 t=15065
liu chang 	流暢	c=3 d=0.709551 t=15065
liu cheng 	流程	c=2 d=0.0107269 t=15065
liu chu 	留出	c=0 d=0.0240508 t=15065
liu chu gu ding de shi jian 	留出固定的時間	c=1 d=0.241714 t=15065
liu dian 	六點	c=0 d=6.47926e-14 t=15065
liu dian yi qian 	六點以前	c=1 d=6.51174e-13 t=15065
liu gan yi miao 	流感疫苗	c=1 d=3.04688e-19 t=15065
liu ge 	六個	c=1 d=2.0192e-06 t=15065
liu ge wei du 	六個維度	c=1 d=3.84015e-06 t=15065
liu ge yi 	六個一	c=18 d=0.323437 t=15065
liu gei 	留給	c=1 d=0.126818 t=15065
liu hao 	六號	c=0 d=9.76805e-20 t=15065
liu hao lou 	六號樓	c=1 d=9.81701e-19 t=15065
liu lan qi 	瀏覽器	c=1 d=0.201897 t=15065
liu ru 	六如	c=1 d=0.07502 t=15065
liu shui dui 	流水對	c=1 d=0.00481991 t=15065
liu xia 	留下	c=1 d=6.04225e-15 t=15065
liu xia le 	留下了	c=1 d=1 t=5645
liu xing 	流行	c=1 d=0.211189 t=15065
liu ying 	劉穎	c=1 d=0.0692522 t=15065
liu zai 	留在	c=1 d=4.89775e-15 t=15065
liu zhi jun 	劉志軍	c=1 d=3.19211e-08 t=15065
liu zhuan 	流轉	c=0 d=3.56267e-07 t=15065
liu zhuan dao wo zhe li lai 	流轉到我這裏來	c=1 d=3.58053e-06 t=15065
liu zuo wei 	劉作偉	c=1 d=3.24035e-08 t=15065
long feng 	龍鳳	c=1 d=0.398519 t=15065
lou 	樓	c=4 d=4.56508e-11 t=15065
lou 	漏	c=0 d=4.4724e-06 t=15065
lou bu zhou 	漏步驟	c=1 d=4.49482e-05 t=15065
lou diao 	漏掉	c=2 d=0.0955384 t=15065
lou le 	漏了	c=0 d=3.44482e-23 t=15065
lou lian 	露臉	c=0 d=0.000247875 t=15065
lou lian de ji hui 	露臉的機會	c=1 d=0.00249118 t=15065
lou ti 	漏題	c=1 d=5.84456e-06 t=15065
lou xie 	漏寫	c=1 d=1 t=5785
lou zhu 	摟住	c=0 d=1.73561e-17 t=15065
lou zhu le ni de jian bang 	摟住了你的肩膀	c=1 d=1.74431e-16 t=15065
lu 	路	c=0 d=0.0130029 t=15065
lu de 	錄的	c=0 d=0.000355287 t=15065
lu jing 	路徑	c=0 d=1.085e-09 t=15065
lu nu zheng 	路怒症	c=1 d=9.31729e-22 t=15065
lu qu 	錄取	c=2 d=0.990209 t=15065
lu qu lv 	錄取率	c=2 d=1.09917e-16 t=15065
lu qu shun wei 	錄取順位	c=1 d=1.57344e-09 t=15065
lu shang 	路上	c=1 d=0.0285814 t=15065
lu yin 	錄音	c=2 d=0.116484 t=15065
lu zhi 	錄製	c=2 d=0.00214418 t=15065
luan ma 	亂碼	c=3 d=5.9412e-09 t=15065
lun 	倫	c=1 d=5.39612e-08 t=15065
lun 	論	c=0 d=3.7183e-10 t=15065
lun yi 	輪椅	c=1 d=0.287941 t=15065
lun zheng 	論證	c=0 d=0.020089 t=15065
luo 	羅	c=1 d=5.36921e-08 t=15065
luo ji 	邏輯	c=0 d=6.87991e-14 t=15065
luo wei 	駱維	c=5 d=0.00879359 t=15065
lv 	率	c=1 d=0.720002 t=15065
lv 	縷	c=1 d=0.0103063 t=15065
lv cheng 	旅程	c=0 d=0.0486752 t=15065
lv cheng jian xin 	旅程艱辛	c=1 d=0.489192 t=15065
ma 	嗎	c=76 d=3.11867 t=15065
ma 	嘛	c=2 d=2.59956e-05 t=15065
ma 	罵	c=2 d=1.13544e-19 t=15065
ma da 	馬達	c=0 d=1.54176e-06 t=15065
ma fan 	麻煩	c=8 d=1.00035 t=15065
ma fan bang wo 	麻煩幫我	c=1 d=6.07564e-21 t=15065
ma fan le 	麻煩了	c=1 d=3.05372e-16 t=15065
ma fan ni 	麻煩你	c=8 d=1.84212 t=15065
ma fan ni ba 	麻煩你把	c=1 d=8.71905e-06 t=15065
ma fan ni gai yi xia 	麻煩你該一下	c=1 d=0.0422141 t=15065
ma fan ni le 	麻煩你了	c=1 d=8.97207e-19 t=15065
ma fan ni yi xia 	麻煩你一下	c=1 d=7.91783e-19 t=15065
ma fan nin le 	麻煩您了	c=1 d=0.0145524 t=15065
ma nong 	碼農	c=1 d=0.394554 t=15065
ma rong 	馬榮	c=0 d=5.17556e-18 t=15065
ma rong cang 	馬榮藏	c=1 d=5.2015e-17 t=15065
ma shang 	馬上	c=1 d=7.57869e-05 t=15065
ma shang you ge hui 	馬上有個會	c=1 d=0.000761668 t=15065
ma tai 	馬太	c=0 d=2.71588e-20 t=15065
ma tai xiao ying 	馬太效應	c=1 d=2.7295e-19 t=15065
ma wen 	馬文	c=1 d=1.73497e-08 t=15065
ma wen ke lin si 	馬文柯林斯	c=1 d=1.58515e-08 t=15065
mai 	買	c=1 d=0.00101244 t=15065
mai de 	買的	c=1 d=0.00329615 t=15065
mai de zhang hao ma 	買的帳號嗎	c=1 d=1.3552e-17 t=15065
mai diao 	賣掉	c=1 d=4.40882e-13 t=15065
man 	慢	c=0 d=0.0690734 t=15065
man 	滿	c=0 d=9.98437e-13 t=15065
man 	漫	c=5 d=0.182684 t=15065
man 	蠻	c=1 d=0.000160856 t=15065
man chang 	漫長	c=1 d=0.529935 t=15065
man hao 	蠻好	c=3 d=4.7998e-05 t=15065
man hao ting 	蠻好聽	c=1 d=6.44804e-15 t=15065
man man 	慢慢	c=0 d=1.7225e-16 t=15065
man man zuo 	慢慢做	c=1 d=1.73113e-15 t=15065
man shi he 	蠻適合	c=1 d=3.53876e-15 t=15065
man su 	慢速	c=0 d=6.007e-06 t=15065
man yi 	滿意	c=1 d=2.25449e-06 t=15065
man yi du 	滿意度	c=1 d=2.14454e-05 t=15065
man you 	滿有	c=0 d=1.35147e-15 t=15065
man you 	蠻有	c=0 d=1.22032e-20 t=15065
man you bang zhu 	滿有幫助	c=1 d=1.35824e-14 t=15065
man you tiao zhan 	蠻有挑戰	c=1 d=1.22644e-19 t=15065
man you yi si 	蠻有意思	c=0 d=1.81643e-23 t=15065
man you yi si de 	蠻有意思的	c=1 d=1.82553e-22 t=15065
mang 	忙	c=1 d=3.8901e-11 t=15065
mang bu guo lai 	忙不過來	c=0 d=0.000382958 t=15065
mang hao la 	忙好啦	c=1 d=7.77187e-06 t=15065
mao 	貓	c=1 d=4.21553e-15 t=15065
mao dun 	矛盾	c=1 d=0.00509243 t=15065
mao si 	貌似	c=1 d=0.136695 t=15065
mei 	每	c=1 d=0.238115 t=15065
mei 	沒	c=3 d=0.236954 t=15065
mei 	美	c=0 d=0.1 t=5661
mei ban fa 	沒辦法	c=0 d=0.00193512 t=15065
mei bi yao 	沒必要	c=1 d=0.0685632 t=15065
mei bian 	沒變	c=1 d=0.0629761 t=15065
mei bian guo le 	沒變過了	c=1 d=0.000139144 t=15065
mei chi 	沒喫	c=0 d=0.0120633 t=15065
mei chi yao 	沒喫藥	c=1 d=0.121238 t=15065
mei ci 	每次	c=1 d=0.0398762 t=15065
mei ci dou yao you 	每次都要有	c=1 d=0.0395575 t=15065
mei ci gai jin yi dian dian 	每次改進一點點	c=1 d=0.0439369 t=15065
mei cuo 	沒錯	c=1 d=4.13206e-15 t=15065
mei fa 	沒法	c=2 d=0.000461975 t=15065
mei fan ying 	沒反應	c=3 d=0.0166503 t=15065
mei gai 	沒改	c=1 d=0.00657159 t=15065
mei gai ming 	沒改名	c=1 d=2.40877e-19 t=15065
mei gao qing chu 	沒搞清楚	c=1 d=2.94769e-12 t=15065
mei ge 	每個	c=6 d=0.263158 t=15065
mei ge 	每隔	c=0 d=7.00554e-21 t=15065
mei ge ren 	每個人	c=3 d=0.81572 t=15065
mei ge ren dou 	每個人都	c=0 d=2.99275e-15 t=15065
mei ge ren dou yao fa yan 	每個人都要發言	c=1 d=3.00775e-14 t=15065
mei ge ren le 	每個人了	c=1 d=2.51707e-07 t=15065
mei ge wen ti 	每個問題	c=1 d=3.38132e-09 t=15065
mei ge xi jie 	每個細節	c=2 d=6.76341e-09 t=15065
mei ge yi duan shi jian 	每隔一段時間	c=1 d=7.04066e-20 t=15065
mei ge zi fu 	每個字符	c=1 d=3.84943e-05 t=15065
mei guan 	美觀	c=0 d=1.57291e-06 t=15065
mei guan xi 	沒關係	c=5 d=0.0249423 t=15065
mei guo 	沒過	c=0 d=4.54308e-14 t=15065
mei hao 	美好	c=1 d=0.0784731 t=15065
mei ji hui 	沒機會	c=1 d=3.36789e-21 t=15065
mei jin 	每斤	c=0 d=7.01412e-06 t=15065
mei jin niu rou 	每斤牛肉	c=1 d=7.04928e-05 t=15065
mei jing 	美景	c=0 d=0.1 t=5574
mei jun 	黴菌	c=1 d=5.70802e-22 t=15065
mei liang che 	每輛車	c=2 d=0.000241493 t=15065
mei liang che de cheng ben 	每輛車的成本	c=1 d=0.000119762 t=15065
mei nian 	每年	c=2 d=1.95623e-12 t=15065
mei qu bie 	沒區別	c=1 d=0.00763509 t=15065
mei ren 	沒人	c=2 d=6.49493e-12 t=15065
mei ri 	每日	c=1 d=4.021e-18 t=15065
mei sha 	沒啥	c=0 d=7.07716e-23 t=15065
mei sha wen ti 	沒啥問題	c=1 d=7.11263e-22 t=15065
mei sha yong ba 	沒啥用吧	c=1 d=0.169483 t=15065
mei shen me 	沒什麼	c=4 d=0.0833306 t=15065
mei shen me yi yi 	沒什麼意義	c=1 d=4.16494e-20 t=15065
mei shen me zhong yao de 	沒什麼重要的	c=1 d=3.98858e-11 t=15065
mei shi 	沒事	c=3 d=5.3952e-06 t=15065
mei shi de 	沒事的	c=1 d=2.81119e-13 t=15065
mei shi jian can jia 	沒時間參加	c=1 d=1.72784e-22 t=15065
mei shou dao zhong shi 	沒受到重視	c=1 d=2.34283e-16 t=15065
mei ti 	沒提	c=1 d=0.000448321 t=15065
mei tian 	每天	c=2 d=2.10208e-05 t=15065
mei ting dong 	沒聽懂	c=1 d=0.000788798 t=15065
mei wen ti 	沒問題	c=4 d=0.000662162 t=15065
mei wen ti de hua 	沒問題的話	c=1 d=2.60673e-07 t=15065
mei xiang dao 	沒想到	c=1 d=6.59757e-20 t=15065
mei yao 	沒要	c=1 d=2.03081e-11 t=15065
mei ye 	每頁	c=1 d=7.99468e-15 t=15065
mei yi 	每一	c=0 d=9.71106e-10 t=15065
mei yi bu 	每一步	c=1 d=1.05726e-08 t=15065
mei yi bu zhou de zheng que xing 	每一步驟的正確性	c=1 d=9.75974e-09 t=15065
mei yi ci 	每一次	c=1 d=0.0963276 t=15065
mei yi ge 	每一個	c=1 d=0.00357068 t=15065
mei yi ge xi jie 	每一個細節	c=1 d=1.12264e-08 t=15065
mei yi jian 	沒意見	c=0 d=0.000191125 t=15065
mei yong de 	沒用的	c=1 d=0.0117371 t=15065
mei you 	沒有	c=26 d=0.566339 t=15065
mei you bian 	沒有變	c=0 d=6.68931e-07 t=15065
mei you bian fu hao 	沒有變符號	c=1 d=6.72284e-06 t=15065
mei you can jia 	沒有參加	c=1 d=0.139457 t=15065
mei you fa cuo 	沒有發錯	c=1 d=0.000219315 t=15065
mei you fan 	沒有反	c=1 d=0.0049667 t=15065
mei you fan ying 	沒有反應	c=1 d=0.00306549 t=15065
mei you kai shi 	沒有開始	c=1 d=5.56235e-12 t=15065
mei you ke 	沒有課	c=1 d=1.07917e-14 t=15065
mei you le qu ke yan 	沒有樂趣可言	c=1 d=0.22313 t=15065
mei you lie 	沒有列	c=1 d=1.27871e-10 t=15065
mei you shen me bian hua 	沒有什麼變化	c=1 d=3.41588e-11 t=15065
mei you shen me jing yan 	沒有什麼經驗	c=1 d=1.05525e-15 t=15065
mei you tai da bang zhu 	沒有太大幫助	c=1 d=1.67017e-05 t=15065
mei you tong bu 	沒有同步	c=1 d=0.00151098 t=15065
mei you wan quan 	沒有完全	c=1 d=0.000898306 t=15065
mei you yong 	沒有用	c=0 d=0.1 t=5755
mei you yong de 	沒有用的	c=1 d=1 t=5756
mei you yu suan 	沒有預算	c=1 d=0.000713734 t=15065
mei yuan 	美元	c=0 d=1.30769e-10 t=15065
mei yuan jin e 	美元金額	c=1 d=1.31425e-09 t=15065
mei zai 	沒在	c=1 d=0.00260584 t=15065
mei zhan chu lai 	沒站出來	c=1 d=5.73565e-20 t=15065
mei zuo wan 	沒做完	c=1 d=0.000183188 t=15065
men 	們	c=3 d=0.0212248 t=15065
men de 	們的	c=1 d=6.18132e-18 t=15065
meng 	猛	c=1 d=0.0837432 t=15065
meng ge 	猛哥	c=1 d=8.50378e-06 t=15065
meng shang 	蒙上	c=0 d=0.1 t=5598
mi 	米	c=2 d=5.96396e-17 t=15065
mi 	迷	c=1 d=1.0609e-19 t=15065
mi bu 	彌補	c=0 d=4.08108e-17 t=15065
mi bu yi xia 	彌補一下	c=1 d=4.10154e-16 t=15065
mi ma 	密碼	c=0 d=4.53521e-23 t=15065
mi ma hui fu 	密碼恢復	c=1 d=4.55795e-22 t=15065
mi ren 	迷人	c=0 d=0.1 t=5574
mi shi 	密室	c=0 d=1.44621e-18 t=15065
mi shi tao tuo 	密室逃脫	c=1 d=1.45346e-17 t=15065
mian 	面	c=1 d=0.004573 t=15065
mian dui mian 	面對面	c=1 d=1.84739e-15 t=15065
mian fei 	免費	c=1 d=1.39937e-12 t=15065
mian ji 	面積	c=1 d=0.0706512 t=15065
mian lin 	面臨	c=1 d=0.0229925 t=15065
mian lin zhe 	面臨着	c=0 d=0.1 t=5558
mian sha 	面紗	c=0 d=0.1 t=5598
mian shi 	面試	c=12 d=0.901486 t=15065
mian shi guan 	面試官	c=2 d=6.54169e-05 t=15065
mian shi zu 	面試組	c=1 d=1 t=5727
mian zuo 	免做	c=1 d=8.46713e-14 t=15065
miao shu 	描述	c=2 d=0.0169075 t=15065
miao xie 	描寫	c=2 d=2.86898e-17 t=15065
miao zhun 	瞄準	c=1 d=1.72191e-11 t=15065
mie 	咩	c=1 d=4.20537e-16 t=15065
min ban 	民辦	c=1 d=0.433874 t=15065
min ban gao zhong 	民辦高中	c=1 d=3.99891e-12 t=15065
min gan 	敏感	c=1 d=5.06789e-05 t=15065
min rui 	敏銳	c=1 d=0.0850088 t=15065
min zhong 	民衆	c=0 d=0.1 t=5560
min zhu sheng huo hui 	民主生活會	c=1 d=0.0157644 t=15065
ming 	明	c=1 d=9.79e-16 t=15065
ming bai 	明白	c=6 d=1.67156 t=15065
ming bai le 	明白了	c=3 d=0.0413499 t=15065
ming cheng 	名稱	c=2 d=2.04679e-05 t=15065
ming dan 	名單	c=6 d=0.0162088 t=15065
ming dan li mei you 	名單裏沒有	c=1 d=0.0156858 t=15065
ming dan li mian 	名單裏面	c=1 d=0.135335 t=15065
ming dan ma 	名單嗎	c=1 d=0.00625109 t=15065
ming dan shang 	名單上	c=1 d=5.5739e-07 t=15065
ming dian 	名店	c=1 d=0.421052 t=15065
ming e 	名額	c=2 d=1.97202 t=15065
ming e dao qu 	名額到區	c=1 d=2.02591e-12 t=15065
ming e dao xiao 	名額到校	c=2 d=6.2408e-12 t=15065
ming e fen pei 	名額分配	c=5 d=3.03731 t=15065
ming jia 	名家	c=1 d=3.0098e-22 t=15065
ming ju 	名句	c=1 d=0.00431784 t=15065
ming ling 	命令	c=3 d=0.000126152 t=15065
ming ling hang 	命令行	c=1 d=0.913931 t=15065
ming ming 	命名	c=0 d=0.0224249 t=15065
ming ming kong jian 	命名空間	c=1 d=0.225373 t=15065
ming nian 	明年	c=1 d=0.000106752 t=15065
ming que 	明確	c=8 d=0.00513027 t=15065
ming que feng xian guan li 	明確風險管理	c=1 d=1 t=5115
ming que ma 	明確嗎	c=1 d=0.00157264 t=15065
ming que yi ge 	明確一個	c=1 d=0.0175975 t=15065
ming que yi xia 	明確一下	c=2 d=0.0010333 t=15065
ming tian 	明天	c=20 d=0.444089 t=15065
ming tian ba 	明天吧	c=1 d=0.00687406 t=15065
ming tian fa ba 	明天發吧	c=1 d=6.54104e-07 t=15065
ming tian huo zhe hou tian 	明天或者後天	c=1 d=0.166127 t=15065
ming tian shang liang 	明天商量	c=1 d=6.44365e-07 t=15065
ming tian shang wu 	明天上午	c=1 d=3.25936e-18 t=15065
ming tian xia wu 	明天下午	c=2 d=0.170333 t=15065
ming tian zai kan kan 	明天再看看	c=1 d=8.37717e-06 t=15065
ming tian zan men 	明天咱們	c=1 d=6.70662e-07 t=15065
ming xiang 	冥想	c=5 d=1.65294e-17 t=15065
ming yi 	名義	c=1 d=0.145876 t=15065
ming zao 	明早	c=1 d=3.95777e-08 t=15065
ming zi 	名字	c=10 d=0.024911 t=15065
ming zi ma 	名字嗎	c=1 d=2.43928e-20 t=15065
ming zi xiang tong er yi 	名字相同而已	c=1 d=0.250324 t=15065
mo 	末	c=0 d=2.32996e-11 t=15065
mo 	膜	c=1 d=0.100259 t=15065
mo ban 	模板	c=2 d=0.000428053 t=15065
mo fang 	模仿	c=0 d=0.0221187 t=15065
mo fang bang yang 	模仿榜樣	c=1 d=0.0340475 t=15065
mo hu 	模糊	c=0 d=6.95024e-16 t=15065
mo hu xing 	模糊性	c=1 d=6.98508e-15 t=15065
mo kuai 	模塊	c=6 d=0.0721684 t=15065
mo ni 	模擬	c=2 d=0.0641326 t=15065
mo ni juan 	模擬卷	c=4 d=2.91787e-16 t=15065
mo ni kao ti 	模擬考題	c=1 d=1.70449e-09 t=15065
mo ni shi ti 	模擬試題	c=1 d=1.77405e-09 t=15065
mo ni ti 	模擬題	c=1 d=1.72162e-09 t=15065
mo qi 	默契	c=0 d=1.55726e-06 t=15065
mo ren 	默認	c=1 d=4.34708e-19 t=15065
mo ren xuan xiang 	默認選項	c=1 d=3.57554e-19 t=15065
mo shi 	模式	c=8 d=0.965605 t=15065
mo suo 	摸索	c=0 d=4.99839e-20 t=15065
mo suo le xia 	摸索了下	c=1 d=5.02345e-19 t=15065
mo wei 	末尾	c=0 d=2.10823e-11 t=15065
mo xie 	默寫	c=1 d=0.031273 t=15065
mo xing 	模型	c=1 d=0.0700523 t=15065
mo yin 	模因	c=5 d=3.6192 t=15065
mou ge 	某個	c=0 d=0.0292706 t=15065
mou ge ling yu 	某個領域	c=1 d=0.0642483 t=15065
mou ge tou ru ke yi lian xi de ren 	某個投入刻意練習的人	c=1 d=0.229925 t=15065
mou ge zhou mo 	某個週末	c=1 d=3.91839e-08 t=15065
mou jian shi 	某件事	c=0 d=0.180086 t=15065
mou jian shi qing 	某件事請	c=1 d=0.918512 t=15065
mou jiao 	某校	c=0 d=0.0909373 t=15065
mou jiao shi qing 	某校事情	c=1 d=0.913931 t=15065
mou xie 	某些	c=1 d=0.382893 t=15065
mu ban 	模板	c=6 d=0.246663 t=15065
mu biao 	目標	c=12 d=0.342487 t=15065
mu biao jing guo fen jie 	目標經過分解	c=1 d=0.0415857 t=15065
mu biao yong hu 	目標用戶	c=1 d=1 t=5788
mu di 	目的	c=8 d=0.16205 t=15065
mu di yi yang de 	目的一樣的	c=1 d=5.86168e-11 t=15065
mu hou 	幕後	c=1 d=2.54367e-13 t=15065
mu lu 	目錄	c=1 d=2.61528e-17 t=15065
mu lu xia mian ba 	目錄下面吧	c=1 d=2.62836e-16 t=15065
mu nv 	母女	c=3 d=0.0505562 t=15065
mu qian 	目前	c=18 d=1.26937 t=15065
mu qian de wen ti 	目前的問題	c=1 d=7.6468e-21 t=15065
mu qian hai bu shi 	目前還不是	c=1 d=9.09837e-07 t=15065
mu qian hai hao 	目前還好	c=1 d=1.00395e-17 t=15065
mu qian hai mei you que ding 	目前還沒有確定	c=1 d=0.000246044 t=15065
mu qian kan qi lai 	目前看起來	c=1 d=0.00229965 t=15065
mu qian yi jing zuo le 	目前已經做了	c=1 d=4.41722e-06 t=15065
mu zhi 	拇指	c=2 d=8.70121e-05 t=15065
mu zhi shi zhi 	拇指食指	c=1 d=4.74896e-05 t=15065
na 	哪	c=0 d=0.0298197 t=15065
na 	拿	c=0 d=0.00150707 t=15065
na 	那	c=16 d=0.696588 t=15065
na bi qian 	那筆錢	c=1 d=5.50888e-16 t=15065
na bian 	那邊	c=6 d=0.0881573 t=15065
na bian jie shu le 	那便結束了	c=1 d=5.78936e-12 t=15065
na bu dao 	拿不到	c=1 d=8.07304e-21 t=15065
na bu yi ding 	那不一定	c=1 d=1.62274e-19 t=15065
na chu 	拿出	c=0 d=0.000343067 t=15065
na chu lai 	拿出來	c=1 d=0.162026 t=15065
na chu yi ge 	拿出一個	c=1 d=0.00344787 t=15065
na dao 	拿到	c=3 d=0.951192 t=15065
na dong xi 	拿東西	c=0 d=0.0028297 t=15065
na gai 	那該	c=0 d=1.14906e-18 t=15065
na gai zai 	那該在	c=1 d=1.15482e-17 t=15065
na ge 	哪個	c=3 d=1.13387 t=15065
na ge 	那個	c=35 d=0.957932 t=15065
na ge ti 	那個題	c=1 d=5.33136e-13 t=15065
na ge tu 	那個圖	c=1 d=1.0165e-16 t=15065
na ge xian 	哪個線	c=1 d=0.00491728 t=15065
na guo lai 	拿過來	c=1 d=0.187308 t=15065
na ji ge 	那幾個	c=1 d=3.56267e-06 t=15065
na ji shou ge 	那幾首歌	c=1 d=6.19521e-15 t=15065
na ji wei 	那幾位	c=1 d=3.54973e-22 t=15065
na jie xia lai 	那接下來	c=1 d=0.00259284 t=15065
na jiu 	那就	c=5 d=0.0595043 t=15065
na jiu ba 	那就把	c=1 d=0.506617 t=15065
na jiu bie xiu le 	那就別修了	c=2 d=0.0645872 t=15065
na jiu chen zhe ge ji hui 	那就趁這個機會	c=1 d=1.23877e-19 t=15065
na jiu duo xie ni le 	那就多謝你了	c=1 d=2.36678e-18 t=15065
na jiu gan cui 	那就乾脆	c=1 d=3.06851e-14 t=15065
na jiu jiao gei ni le 	那就交給你了	c=1 d=5.32122e-20 t=15065
na jiu ming tian 	那就明天	c=1 d=0.173774 t=15065
na jiu qu xiao 	那就取消	c=1 d=0.99005 t=15065
na jiu shi 	那就是	c=0 d=0.1 t=5465
na jiu shi ci tie 	那就是磁鐵	c=1 d=1 t=5466
na jiu shi de 	那就是的	c=1 d=0.748264 t=15065
na jiu shou ji shang 	那就手機上	c=1 d=0.000219315 t=15065
na jiu xian ba 	那就先把	c=1 d=3.27459e-14 t=15065
na jiu xing 	那就行	c=1 d=6.67317e-07 t=15065
na jiu yao 	那就要	c=1 d=0.00400585 t=15065
na jiu zhe me ding le 	那就這麼定了	c=1 d=1.58569e-12 t=15065
na jiu zhe yang 	那就這樣	c=1 d=7.36222e-16 t=15065
na jiu zhe yang jiang ba 	那就這樣講吧	c=1 d=5.32212e-22 t=15065
na ke neng bu xing 	那可能不行	c=1 d=0.0101022 t=15065
na li 	哪裏	c=1 d=0.00973835 t=15065
na li 	那裏	c=3 d=0.0148065 t=15065
na li bu dui 	哪裏不對	c=1 d=0.0500366 t=15065
na liang tiao 	那兩條	c=1 d=3.64715e-17 t=15065
na ma fan ni 	那麻煩你	c=1 d=0.0411719 t=15065
na me 	那麼	c=7 d=0.826498 t=15065
na me deng xia 	那麼等下	c=1 d=0.00923273 t=15065
na me ta de li yong yuan li shi shen me ne 	那麼它的利用原理是什麼呢	c=1 d=1 t=5448
na me zui hou 	那麼最後	c=1 d=1.21049e-12 t=15065
na ni 	那你	c=1 d=5.49466e-15 t=15065
na ni jiang dao 	那你講到	c=1 d=9.96368e-17 t=15065
na ni jiu 	那你就	c=1 d=0.0397558 t=15065
na ni na ge tu 	那你那個圖	c=1 d=9.81534e-17 t=15065
na ni tui chi yi xiao shi ba 	那你推遲一小時吧	c=1 d=4.5454e-19 t=15065
na ni zhua jin shi jian guan diao 	那你抓緊時間關掉	c=1 d=0.242926 t=15065
na ni zhun bei hao 	那你準備好	c=1 d=1.59364e-12 t=15065
na pa shi 	哪怕是	c=1 d=8.00856e-06 t=15065
na pi jian li 	那批簡歷	c=1 d=2.51793e-11 t=15065
na ru 	納入	c=0 d=1.25946e-09 t=15065
na ru dao 	納入到	c=1 d=1.26577e-08 t=15065
na shi 	那時	c=1 d=0.0283654 t=15065
na shi bi xu di 	那時必須滴	c=1 d=1.56991e-12 t=15065
na shi ye xu 	那時也許	c=1 d=0.285076 t=15065
na shi yi ding de 	那是一定的	c=1 d=6.72856e-16 t=15065
na shu ju 	拿數據	c=1 d=3.0322e-21 t=15065
na shui ren 	納稅人	c=1 d=1.09822e-05 t=15065
na shui ren shi bie hao 	納稅人識別號	c=1 d=1.00796e-05 t=15065
na wei 	哪位	c=1 d=0.489192 t=15065
na wo 	那我	c=2 d=0.0380262 t=15065
na wo cui cui ta 	那我催催他	c=1 d=2.10208e-05 t=15065
na wo deng xia 	那我等下	c=1 d=9.01551e-17 t=15065
na wo gai cheng 	那我改成	c=1 d=0.00822975 t=15065
na wo jiu 	那我就	c=2 d=0.12493 t=15065
na wo men 	那我們	c=4 d=0.0109985 t=15065
na wo men xian zai 	那我們現在	c=1 d=0.0301974 t=15065
na wo ming tian 	那我明天	c=1 d=0.00196945 t=15065
na wo qu diao le 	那我去掉了	c=1 d=0.138761 t=15065
na wo zuo liang ge 	那我做兩個	c=1 d=4.30069e-15 t=15065
na xia wu hui shang shuo xi jie ba 	那下午會上說細節吧	c=1 d=0.985112 t=15065
na xie 	哪些	c=7 d=1.03997 t=15065
na xie 	那些	c=2 d=0.0159273 t=15065
na xie bu men 	哪些部門	c=1 d=0.00554422 t=15065
na xie han yi 	哪些含義	c=1 d=4.51733e-10 t=15065
na xie ti mu you na xie te zheng 	那些題目有哪些特徵	c=1 d=7.54217e-06 t=15065
na yao shi 	那要是	c=1 d=5.70511e-16 t=15065
na ye 	那也	c=0 d=4.00833e-12 t=15065
na ye bu xing 	那也不行	c=1 d=1.88536e-19 t=15065
na ye cha bu liao 	那也差不了	c=1 d=3.16906e-11 t=15065
na ye de 	那也的	c=1 d=1.9623e-19 t=15065
na ye mei ban fa 	那也沒辦法	c=1 d=0.0194482 t=15065
na ye xing 	那也行	c=1 d=8.59363e-12 t=15065
na yuan cheng ba 	那遠程吧	c=1 d=9.91567e-19 t=15065
na zhe 	拿着	c=1 d=0.000118571 t=15065
na zhe ci 	那這次	c=1 d=2.76218e-12 t=15065
na zhe ji mao dang ling jian 	拿着雞毛當令箭	c=0 d=1.52772e-16 t=15065
na zhe ji mao dang ling jian ba 	拿着雞毛當令箭吧	c=1 d=1.53538e-15 t=15065
na zhou 	那周	c=1 d=0.000186888 t=15065
nai cha 	奶茶	c=1 d=0.000523486 t=15065
nai xin 	耐心	c=1 d=0.000528747 t=15065
nan 	南	c=1 d=0.00465413 t=15065
nan 	男	c=1 d=0.0135335 t=15065
nan 	難	c=0 d=0.000292342 t=15065
nan ban 	難辦	c=0 d=1.12088e-20 t=15065
nan dao 	難道	c=3 d=0.043096 t=15065
nan de 	難得	c=0 d=4.05727e-07 t=15065
nan de de 	難得的	c=1 d=4.07761e-06 t=15065
nan dian 	難點	c=1 d=0.0972957 t=15065
nan du 	難度	c=1 d=0.628135 t=15065
nan du tai di le 	難度太低了	c=1 d=4.55484e-14 t=15065
